,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
210,76,0.269,0.802,211427,0.743,1.36e-06,7,0.121,-4.82,0,0.0474,146.03,4,0.877
211,75,0.121,0.788,166476,0.842,0.00112,4,0.166,-4.006,0,0.142,190.077,4,0.481
212,77,0.802,0.737,190348,0.408,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374
213,76,0.0168,0.713,332301,0.831,0.0,1,0.118,-4.75,0,0.15,173.948,4,0.584
214,78,0.202,0.745,222320,0.477,0.0,11,0.12,-7.706,0,0.088,136.055,4,0.454
215,78,0.494,0.804,228484,0.479,0.0,11,0.0994,-6.661,1,0.0321,120.0,4,0.462
216,77,0.0338,0.896,303077,0.515,0.0,2,0.317,-5.395,1,0.183,138.016,4,0.174
217,75,0.148,0.79,131139,0.768,0.000947,6,0.126,-5.638,1,0.284,80.029,4,0.691
218,75,0.166,0.613,223543,0.6,0.0,8,0.117,-7.097,1,0.154,147.059,4,0.532
219,79,0.0733,0.552,260000,0.76,0.0,0,0.0865,-4.706,1,0.342,135.702,5,0.639
220,73,0.0468,0.604,208280,0.879,0.0,4,0.0909,-3.388,1,0.0322,137.983,4,0.757
221,75,0.278,0.783,222866,0.537,0.0,9,0.229,-2.921,1,0.0795,113.988,4,0.393
222,80,0.0215,0.765,192172,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,4,0.498
223,81,0.255,0.713,201200,0.738,0.0,10,0.106,-6.784,1,0.374,105.027,4,0.425
224,84,0.0722,0.383,260773,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827
225,80,0.556,0.826,236216,0.449,1.85e-05,5,0.273,-8.33,0,0.0674,128.028,4,0.337
226,79,0.649,0.607,190027,0.478,0.0,1,0.0928,-5.702,0,0.031,88.979,4,0.255
227,87,0.323,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
228,85,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
229,77,0.685,0.819,200162,0.48,2.03e-06,5,0.116,-6.966,1,0.0489,114.04,3,0.759
230,74,0.128,0.776,116681,0.608,0.0,10,0.0932,-6.478,0,0.104,156.025,4,0.402
231,73,0.101,0.632,199625,0.804,0.0,7,0.17,-6.109,1,0.0503,92.456,4,0.35
232,76,0.339,0.689,191680,0.584,0.0,1,0.297,-5.768,0,0.119,156.572,4,0.676
233,75,0.525,0.921,197079,0.607,1.12e-06,1,0.123,-7.397,1,0.209,140.071,4,0.753
234,76,0.0468,0.443,233000,0.623,0.0,0,0.247,-6.717,0,0.0718,79.365,4,0.156
235,74,0.0739,0.543,231298,0.492,0.0,7,0.11,-7.432,1,0.156,220.099,4,0.107
236,77,0.131,0.559,246987,0.761,1.6e-06,4,0.143,-4.041,0,0.0877,163.898,4,0.24
237,76,0.123,0.925,145507,0.31,0.0,11,0.0931,-6.531,0,0.291,121.927,4,0.291
238,77,0.117,0.854,225773,0.463,0.0,5,0.354,-6.159,1,0.137,120.024,4,0.549
239,76,0.274,0.671,210197,0.565,6.51e-05,11,0.37,-7.401,0,0.16,150.014,4,0.561
